71,359
70,295
71,252
61,245
44,237
30,228
23,230
19,246
16,246
12,259
12,272
13,280
14,287
14,305
14,316
14,320
15,324
13,334
18,337
19,350
18,349
17,360
16,370
13,382
14,382
16,388
14,402
16,406
16,404
17,413
19,413
21,423
22,418
23,421
27,417
31,399
33,391
35,381
39,362
41,347
43,324
42,313
45,292
40,290
38,294
36,280
34,266
36,246
35,240
33,243
28,246
26,243
25,251
24,255
24,262
18,275
16,287
15,299
13,315
13,330
12,343
10,357
11,373
15,372
16,376
17,382
17,392
17,396
22,403
26,401
31,388
31,389
33,382
36,358
37,354
36,340
36,335
35,327
33,327
32,327
31,316
35,308
35,309
34,307
34,301
36,292
30,289
29,288
28,293
26,300
24,309
20,310
21,302
22,300
21,311
19,315
17,329
19,343
17,344
20,350
19,363
19,367
18,362
18,369
19,367
22,366
25,359
30,344
32,337
31,339
33,338
30,337
32,321
29,312
28,308
29,299
31,302
31,294
30,300
27,306
25,305
25,309
24,318
27,318
28,320
30,306
28,301
29,291
29,291
29,283
31,285
28,284
27,293
25,297
24,295
23,306
20,308
18,313
16,322
18,325
18,326
19,332
19,331
20,331
20,325
22,337
26,333
27,329
25,321
26,314
27,308
32,307
28,311
26,309
24,310
24,313
24,316
27,311
25,310
26,307
28,299
29,295
26,304
26,294
26,300
22,307
22,312
22,312
23,313
21,309
20,312
18,322
21,315
23,310
26,303
27,302
26,288
26,284
32,280
34,267
34,254
31,263
27,260
21,272
21,276
22,268
23,266
21,267
22,269
21,266
22,271
22,277
22,279
22,282
23,287
20,291
19,291
20,296
18,306
17,309
17,315
16,321
15,325
17,330
16,338
17,340
19,336
24,331
28,319
27,320
23,326
24,312
31,295
33,273
31,261
32,258
31,253
29,239
26,244
22,244
21,243
19,247
16,254
13,264
15,267
17,278
17,276
14,282
13,298
13,310
13,317
13,330
14,338
16,340
16,341
17,340
20,344
20,349
21,354
21,339
24,330
27,328
27,330
26,321
26,313
28,301
29,299
27,295
27,297
27,291
22,288
20,293
20,290
22,295
21,297
22,289
21,284
22,286
23,288
17,294
18,302
15,308
16,307
17,316
17,320
17,328
17,333
17,337
17,340
18,346
20,355
20,355
21,349
22,338
24,331
24,325
25,325
24,326
24,318
24,315
22,314
20,318
22,313
20,315
25,306
28,287
29,278
31,272
31,264
30,262
31,249
28,243
28,238
27,240
23,248
18,253
18,255
16,257
17,259
16,266
17,269
20,272
21,278
21,285
19,281
19,250
21,253
21,252
18,257
16,269
20,270
21,272
20,275
22,279
24,271
23,276
23,275
22,277
22,275
23,265
22,265
24,258
22,258
24,258
27,247
24,240
23,237
23,234
25,229
23,232
21,236
20,237
21,237
22,232
19,243
18,251
15,263
14,275
13,285
12,299
13,311
12,321
13,329
14,333
13,339
15,341
17,348
15,353
15,360
15,357
17,358
19,350
21,351
22,359
23,351
22,355
22,351
21,354
21,349
